"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"Hedo Türko?lu";"Hedo Turkoglu";"1979-03-19";"1979-03-19";"Gaziosmanpa?a";"turkey"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Willie Green";"Willie Green";"1981-07-28";"1981-07-28";"Detroit";"detroit"
"Reggie Bullock";"Reggie Bullock";"1991-03-16";"1991-03-16";"Kinston";"baltimore"
"Ryan Hollins";"Ryan Hollins";"1984-10-10";"1984-10-10";"Pasadena";"pasadena"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Elliot Williams";"Elliot Williams";"1989-06-20";"1989-06-20";"Memphis";"memphis"
"Hollis Thompson";"Hollis Thompson";"1991-04-03";"1991-04-03";"Los Angeles";"losangeles"
"Casper Ware";"Casper Ware";"1990-11-17";"1990-01-17";"Cerritos";"cerritos"
"Lavoy Allen";"Lavoy Allen";"1989-02-04";"1989-02-04";"Trenton";"morrisville"
"Jarvis Varnado";"Jarvis Varnado";"1988-03-01";"1988-03-01";"Fairfax";"fairfax"
"Eric Maynor";"Eric Maynor";"1987-06-11";"1987-06-11";"Raeford";"raeford"
"Adonis Thomas";"Adonis Thomas";"1993-03-25";"1993-03-25";"Memphis";
"James Anderson";"James Anderson";"1989-03-25";"1989-03-25";"El Dorado";"eldorado"
"Arnett Moultrie";"Arnett Moultrie";"1990-11-18";"1990-11-18";"Queens";"queens"
"Darius Morris";"Darius Morris";"1991-01-03";"1991-01-03";"Los Angeles";"losangeles"
"Daniel Orton";"Daniel Orton";"1990-08-06";"1990-08-06";"Oklahoma City";"oklahomacity"
"Byron Mullens";"Byron Mullens";"1989-02-14";"1989-02-14";"Canal Winchester";"columbus"
"James Nunnally";"James Nunnally";"1990-07-14";"1990-07-14";"San Jose";"sanjose"
"Jason Richardson";"Jason Richardson";"1981-01-20";"1981-01-20";"Saginaw";"saginaw"
"Brandon Davies";"Brandon Davies";"1991-07-25";"1991-07-25";"Philadelphia";"philadelphia"
"Lorenzo Brown";"Lorenzo Brown";"1990-08-26";"1990-08-26";"Roswell";"rockford"
"Darius Johnson-Odom";"Darius Johnson-Odom";"1989-09-28";"1989-09-28";"Raleigh";"raleigh"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Martell Webster";"Martell Webster";"1986-12-04";"1986-12-04";"Edmonds";"edmonds"
"Wesley Johnson";"Wesley Johnson";"1987-07-11";"1987-07-11";"Corsicana";"corsicana"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Ersan ?lyasova";"Ersan Ilyasova";"1987-05-15";"1987-05-15";"Eski?ehir";"turkey"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Kent Bazemore";"Kent Bazemore";"1989-07-01";"1989-07-01";"Kelford";"kelford"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Enes Kanter";"Enes Kanter";"1992-05-20";"1992-05-20";"Zürich";"switzerland"
"Ryan Kelly";"Ryan Kelly";"1991-04-09";"1991-04-09";"Carmel";"carmel"
"Eric Gordon";"Eric Gordon";"1988-12-25";"1988-12-25";"Indianapolis";"indianapolis"
"Robert Sacre";"Robert Sacre";"1989-06-06";"1989-06-06";"Baton Rouge";"batonrouge"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Andre Miller";"Andre Miller";"1976-03-19";"1976-03-19";"Los Angeles";"losangeles"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"C. J. Miles";"C.J. Miles";"1987-03-18";"1987-03-18";"Dallas";"dallas"
"Gerald Green";"Gerald Green";"1986-01-26";"1986-01-26";"Houston";"houston"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Alec Burks";"Alec Burks";"1991-07-20";"1991-07-20";"Grandview";"grandview"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Marvin Williams";"Marvin Williams";"1986-06-19";"1986-06-19";"Bremerton";"bremerton"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"Tobias Harris";"Tobias Harris";"1992-07-15";"1992-07-15";"Islip";"islip"
"Ed Davis";"Ed Davis";"1989-06-05";"1989-06-05";"Washington, D.C.";"washington"
"Austin Daye";"Austin Daye";"1988-06-05";"1988-06-05";"Irvine";"irvine"
"Tony Wroten";"Tony Wroten";"1993-04-13";"1993-04-13";"Renton";"seattle"
"Luke Ridnour";"Luke Ridnour";"1981-02-13";"1981-02-13";"Coeur d'Alene";
"Tony Wroten";"Tony Wroten";"1993-04-13";"1993-04-13";"Renton";"seattle"
"Udonis Haslem";"Udonis Haslem";"1980-06-09";"1980-06-09";"Miami";"miami"
"Tony Wroten";"Tony Wroten";"1993-04-13";"1993-04-13";"Renton";"seattle"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Dion Waiters";"Dion Waiters";"1991-12-10";"1991-12-10";"Philadelphia";"philadelphia"
"Matthew Dellavedova";"Matthew Dellavedova";"1990-09-08";"1990-09-08";"Maryborough";"australia"
"Anthony Bennett";"Anthony Bennett";"1993-03-14";"1993-03-14";"Toronto";"canada"
"Alonzo Gee";"Alonzo Gee";"1987-05-29";"1987-05-29";"Riviera Beach";"rivierabeach"
"Carrick Felix";"Carrick Felix";"1990-08-17";"1990-08-17";"Goodyear";"lasvegas"
"Scotty Hopson";"Scotty Hopson";"1989-08-08";"1989-08-08";"Hopkinsville";
"Arinze Onuaku";"Arinze Onuaku";"1987-07-13";"1987-07-13";"Lanham";"lanham"
"Jason Thompson";"Jason Thompson";"1986-07-21";"1986-07-21";"Mount Laurel Township";"camden"
"Wilson Chandler";"Wilson Chandler";"1987-05-10";"1987-05-10";"Benton Harbor";"bentonharbor"
"Greg Stiemsma";"Greg Stiemsma";"1985-09-26";"1985-09-26";"Randolph";"randolph"
"Nenê";"Nene Hilario";"1982-09-13";"1982-09-13";"São Carlos";"brazil"
"Nick Calathes";"Nick Calathes";"1989-02-07";"1989-02-07";"Casselberry";"orlando"
"Chris Douglas-Roberts";"Chris Douglas-Roberts";"1987-01-08";"1987-01-08";"Detroit";"detroit"
"Mike Scott";"Mike Scott";"1988-07-16";"1988-07-16";"Chesapeake";"chesapeake"
"Markieff Morris";"Markieff Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Channing Frye";"Channing Frye";"1983-05-17";"1983-05-17";"White Plains";"whiteplains"
"Leandro Barbosa";"Leandro Barbosa";"1982-11-28";"1982-11-28";"São Paulo";"brazil"
"Dionte Christmas";"Dionte Christmas";"1986-09-15";"1986-09-15";"Philadelphia";"philadelphia"
"Kosta Koufos";"Kosta Koufos";"1989-02-24";"1989-02-24";"Canton";"canton"
"Alex Len";"Alex Len";"1993-06-16";"1993-06-16";"Antratsyt";"ukraine"
"Shavlik Randolph";"Shavlik Randolph";"1983-11-24";"1983-11-24";"Raleigh";"raleigh"
"Viacheslav Kravtsov";"Slava Kravtsov";"1987-08-25";"1987-08-25";"Odessa";
"Richard Jefferson";"Richard Jefferson";"1980-06-21";"1980-06-21";"Los Angeles";"losangeles"
"Brandan Wright";"Brandan Wright";"1987-10-05";"1987-10-05";"Nashville";"nashville"
"Emeka Okafor";"Emeka Okafor";"1982-09-28";"1982-09-28";"Houston";"houston"
"C. J. Watson";"C.J. Watson";"1984-04-17";"1984-04-17";"Las Vegas";"lasvegas"
"Jarrett Jack";"Jarrett Jack";"1983-10-28";"1983-10-28";"Fort Washington";"fortwashington"
"Jarrett Jack";"Jarrett Jack";"1983-10-28";"1983-10-28";"Fort Washington";"fortwashington"
"Jarrett Jack";"Jarrett Jack";"1983-10-28";"1983-10-28";"Fort Washington";"fortwashington"
"Archie Goodwin";"Archie Goodwin";"1994-08-17";"1994-08-17";"Little Rock";"littlerock"
"Archie Goodwin";"Archie Goodwin";"1994-08-17";"1994-08-17";"Little Rock";"littlerock"
"Archie Goodwin";"Archie Goodwin";"1994-08-17";"1994-08-17";"Little Rock";"littlerock"
"Seth Curry";"Seth Curry";"1990-08-23";"1990-08-23";"Charlotte";"charlotte"
"Seth Curry";"Seth Curry";"1990-08-23";"1990-08-23";"Charlotte";"charlotte"
"Seth Curry";"Seth Curry";"1990-08-23";"1990-08-23";"Charlotte";"charlotte"
"Kyle Singler";"Kyle Singler";"1988-05-04";"1988-05-04";"Medford";"medford"
"Charlie Villanueva";"Charlie Villanueva";"1984-08-24";"1984-08-24";"Queens";"queens"
"Jonas Jerebko";"Jonas Jerebko";"1987-03-02";"1987-03-02";"Kinna";"sweden"
"Chauncey Billups";"Chauncey Billups";"1976-09-25";"1976-09-25";"Denver";"denver"
"Josh Harrellson";"Josh Harrellson";"1989-02-12";"1989-02-12";"Saint Charles";
"Luigi Datome";"Luigi Datome";"1987-11-27";"1987-11-28";"Montebelluna";"italy"
"Peyton Siva";"Peyton Siva";"1990-10-24";"1990-10-24";"Seattle";"seattle"
"Tony Mitchell";"Tony Mitchell";"1992-04-07";"1992-04-07";"Milwaukee";"milwaukee"
"Ish Smith";"Ish Smith";"1988-07-05";"1988-07-05";"Charlotte";"charlotte"
"Ish Smith";"Ish Smith";"1988-07-05";"1988-07-05";"Charlotte";"charlotte"
"DeMarre Carroll";"DeMarre Carroll";"1986-07-27";"1986-07-27";"Birmingham";"birmingham"
"Jason Smith";"Jason Smith";"1986-03-02";"1986-03-02";"Greeley";"greeley"
"Trevor Booker";"Trevor Booker";"1987-11-25";"1987-11-25";"Newberry";"newberry"
"Cory Joseph";"Cory Joseph";"1991-08-20";"1991-08-20";"Toronto";"canada"
"Aaron Brooks";"Aaron Brooks";"1985-01-14";"1985-01-14";"Seattle";"seattle"
"Miles Plumlee";"Miles Plumlee";"1988-09-01";"1988-09-01";"Fort Wayne";"fortwayne"
"Miles Plumlee";"Miles Plumlee";"1988-09-01";"1988-09-01";"Fort Wayne";"fortwayne"
"Miles Plumlee";"Miles Plumlee";"1988-09-01";"1988-09-01";"Fort Wayne";"fortwayne"
"Kentavious Caldwell-Pope";"Kentavious Caldwell-Pope";"1993-02-18";"1993-02-18";"Thomaston";"thomaston"
"Kentavious Caldwell-Pope";"Kentavious Caldwell-Pope";"1993-02-18";"1993-02-18";"Thomaston";"thomaston"
"Marcus Morris";"Marcus Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Marcus Morris";"Marcus Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Marcus Morris";"Marcus Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Greg Monroe";"Greg Monroe";"1990-06-04";"1990-06-04";"Gretna";"harvey"
"Ish Smith";"Ish Smith";"1988-07-05";"1988-07-05";"Charlotte";"charlotte"
"Greg Monroe";"Greg Monroe";"1990-06-04";"1990-06-04";"Gretna";"harvey"
"Greg Monroe";"Greg Monroe";"1990-06-04";"1990-06-04";"Gretna";"harvey"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Derrick Williams";"Derrick Williams";"1991-05-25";"1991-05-25";"La Mirada";"bellflower"
"Ray McCallum";"Ray McCallum";"1961-03-06";"1991-06-12";"West Memphis";"madison"
"Jimmer Fredette";"Jimmer Fredette";"1989-02-25";"1989-02-25";"Glens Falls";"glensfalls"
"Reggie Evans";"Reggie Evans";"1980-05-18";"1980-05-18";"Pensacola";"pensacola"
"Travis Outlaw";"Travis Outlaw";"1984-09-18";"1984-09-18";"Starkville";"starkville"
"Luc Mbah a Moute";"Luc Richard Mbah a Moute";"1986-09-09";"1986-09-09";"Yaoundé";"cameroon"
"Carl Landry";"Carl Landry";"1983-09-19";"1983-09-19";"Milwaukee";"milwaukee"
"Jared Cunningham";"Jared Cunningham";"1991-05-22";"1991-05-22";"Oakland";"oakland"
"Quincy Acy";"Quincy Acy";"1990-10-06";"1990-10-06";"Tyler";"tyler"
"Orlando Johnson";"Orlando Johnson";"1989-03-11";"1989-03-11";"Monterey";"monterey"
"Hamady N'Diaye";"Hamady Ndiaye";"1987-01-12";"1987-01-12";"Dakar";"senegal"
"Royce White";"Royce White";"1991-04-10";"1991-04-10";"Minneapolis";"minneapolis"
"George Hill";"George Hill";"1986-05-04";"1986-05-04";"Indianapolis";"indianapolis"
"Luis Scola";"Luis Scola";"1980-04-30";"1980-04-30";"Buenos Aires";"argentina"
"Chris Copeland";"Chris Copeland";"1984-03-17";"1984-03-17";"Orange";"orange"
"Ian Mahinmi";"Ian Mahinmi";"1986-11-05";"1986-11-05";"Rouen";"france"
"Rasual Butler";"Rasual Butler";"1979-05-23";"1979-05-23";"Philadelphia";"philadelphia"
"Donald Sloan";"Donald Sloan";"1988-01-15";"1988-01-15";"Shreveport";"shreveport"
"Solomon Hill";"Solomon Hill";"1991-03-18";"1991-03-18";"California";"losangeles"
"Derek Fisher";"Derek Fisher";"1974-08-09";"1974-08-09";"Little Rock";"littlerock"
"Ben McLemore";"Ben McLemore";"1993-02-11";"1993-02-11";"St. Louis";
"Ben McLemore";"Ben McLemore";"1993-02-11";"1993-02-11";"St. Louis";
"Ben McLemore";"Ben McLemore";"1993-02-11";"1993-02-11";"St. Louis";
"Willie Reed";"Willie Reed";"1990-05-16";"1990-05-16";"Roeland Park";"tlouis"
"Jason Terry";"Jason Terry";"1977-09-15";"1977-09-15";"Seattle";"seattle"
"Aaron Gray";"Aaron Gray";"1984-12-07";"1984-12-07";"Tarzana";"tarzana"
"Aaron Gray";"Aaron Gray";"1984-12-07";"1984-12-07";"Tarzana";"tarzana"
"Aaron Gray";"Aaron Gray";"1984-12-07";"1984-12-07";"Tarzana";"tarzana"
"Louis Williams";"Louis Williams";"1986-10-27";"1986-10-27";"Memphis";"lithonia"
"Carlos Delfino";"Carlos Delfino";"1982-08-29";"1982-08-29";"Santa Fe";"argentina"
"Gary Neal";"Gary Neal";"1984-10-03";"1984-10-03";"Baltimore";"baltimore"
"Giannis Antetokounmpo";"Giannis Antetokounmpo";"1994-12-16";"1994-12-06";"Athens";"greece"
"Chris Wright";"Chris Wright";"1988-09-30";"1988-09-30";"Trotwood";"trotwood"
"Miroslav Raduljica";"Miroslav Raduljica";"1988-01-05";"1988-01-05";"Belgrade";
"Ekpe Udoh";"Ekpe Udoh";"1987-05-20";"1987-05-20";"Edmond";"edmond"
"D.J. Stephens";"D.J. Stephens";"1990-12-19";"1990-12-19";"";"germany"
"Tony Mitchell";"Tony Mitchell";"1989-08-07";"1989-08-07";"Swainsboro";"swainsboro"
"Louis Amundson";"Lou Amundson";"1982-12-07";"1982-12-07";"Ventura";"ventura"
"Ronnie Brewer";"Ronnie Brewer";"1985-03-20";"1985-03-20";"Portland";"portland"
"Mike James";"Mike James";"1975-06-23";"1975-06-23";"Copiague";"amityville"
"Derrick Rose";"Derrick Rose";"1988-10-04";"1988-10-04";"Chicago";"chicago"
"Greg Smith";"Greg Smith";"1991-01-08";"1991-01-08";"Vallejo";"vallejo"
"Jeff Adrien";"Jeff Adrien";"1986-02-10";"1986-02-10";"Brookline";"brookline"
"Jeff Adrien";"Jeff Adrien";"1986-02-10";"1986-02-10";"Brookline";"brookline"
"Tony Snell";"Tony Snell";"1991-11-10";"1991-11-10";"Watts";"riverside"
"Nazr Mohammed";"Nazr Mohammed";"1977-09-05";"1977-09-05";"Chicago";"chicago"
"Larry Sanders";"Larry Sanders";"1988-11-21";"1988-11-21";"Fort Pierce";"fortpierce"
"Ramon Sessions";"Ramon Sessions";"1986-04-11";"1986-04-11";"Myrtle Beach";"myrtlebeach"
"Larry Sanders";"Larry Sanders";"1988-11-21";"1988-11-21";"Fort Pierce";"fortpierce"
"Ramon Sessions";"Ramon Sessions";"1986-04-11";"1986-04-11";"Myrtle Beach";"myrtlebeach"
"Ramon Sessions";"Ramon Sessions";"1986-04-11";"1986-04-11";"Myrtle Beach";"myrtlebeach"
"DeJuan Blair";"DeJuan Blair";"1989-04-22";"1989-04-22";"Pittsburgh";"pittsburgh"
"Kirk Hinrich";"Kirk Hinrich";"1981-01-02";"1981-01-02";"Sioux City";"siouxcity"
"Kirk Hinrich";"Kirk Hinrich";"1981-01-02";"1981-01-02";"Sioux City";"siouxcity"
"Kirk Hinrich";"Kirk Hinrich";"1981-01-02";"1981-01-02";"Sioux City";"siouxcity"
"Luol Deng";"Luol Deng";"1985-04-16";"1985-04-16";"Wau";"sudan"
"Luol Deng";"Luol Deng";"1985-04-16";"1985-04-16";"Wau";"sudan"
"Luol Deng";"Luol Deng";"1985-04-16";"1985-04-16";"Wau";"sudan"
"Khris Middleton";"Khris Middleton";"1991-08-12";"1991-08-12";"Charleston";"charleston"
"Khris Middleton";"Khris Middleton";"1991-08-12";"1991-08-12";"Charleston";"charleston"
"Khris Middleton";"Khris Middleton";"1991-08-12";"1991-08-12";"Charleston";"charleston"
"Larry Sanders";"Larry Sanders";"1988-11-21";"1988-11-21";"Fort Pierce";"fortpierce"
"Tony Allen";"Tony Allen";"1982-01-11";"1982-01-11";"Chicago";"chicago"
"Tony Allen";"Tony Allen";"1982-01-11";"1982-01-11";"Chicago";"chicago"
"Tony Allen";"Tony Allen";"1982-01-11";"1982-01-11";"Chicago";"chicago"
"Ricky Ledo";"Ricky Ledo";"1992-09-10";"1992-09-10";"Providence";"providence"
"Gal Mekel";"Gal Mekel";"1988-03-04";"1988-03-04";"Petah Tikva";"israel"
"Shawn Marion";"Shawn Marion";"1978-05-07";"1978-05-07";"Waukegan";"chicago"
"Wayne Ellington";"Wayne Ellington";"1987-11-29";"1987-11-29";"Wynnewood";"wynnewood"
"Jae Crowder";"Jae Crowder";"1990-07-06";"1990-07-06";"Villa Rica";"villarica"
"Bernard James";"Bernard James";"1985-02-07";"1985-02-07";"Savannah";"savannah"
"Shane Larkin";"Shane Larkin";"1992-10-02";"1992-10-02";"Cincinnati";"cincinnati"
"Quincy Pondexter";"Quincy Pondexter";"1988-03-10";"1988-03-10";"Fresno";"fresno"
"Quincy Pondexter";"Quincy Pondexter";"1988-03-10";"1988-03-10";"Fresno";"fresno"
"Quincy Pondexter";"Quincy Pondexter";"1988-03-10";"1988-03-10";"Fresno";"fresno"
"Boris Diaw";"Boris Diaw";"1982-04-16";"1982-04-16";"Cormeilles-en-Parisis";"france"
"Brian Roberts";"Brian Roberts";"1985-12-03";"1985-12-03";"Toledo";"toledo"
"Anthony Morrow";"Anthony Morrow";"1985-09-27";"1985-09-27";"Charlotte";"charlotte"
"Austin Rivers";"Austin Rivers";"1992-08-01";"1992-08-01";"Santa Monica";"santamonica"
"Al-Farouq Aminu";"Al-Farouq Aminu";"1990-09-21";"1990-09-21";"Atlanta";"atlanta"
"Alexis Ajinça";"Alexis Ajinca";"1988-05-06";"1988-05-06";"Saint-Étienne";"france"
"James Southerland";"James Southerland";"1990-04-28";"1990-04-28";"Queens";"bayside"
"Darius Miller";"Darius Miller";"1990-03-21";"1990-03-21";"Maysville";"maysville"
"Jeff Withey";"Jeff Withey";"1990-03-07";"1990-03-07";"San Diego";"sandiego"
"Melvin Ely";"Melvin Ely";"1978-05-02";"1978-05-02";"Harvey";"harvey"
"Lance Thomas";"Lance Thomas";"1988-04-24";"1988-04-24";"Brooklyn";"brooklyn"
"Josh Childress";"Josh Childress";"1983-06-20";"1983-06-20";"Harbor City";"harborcity"
"Vince Carter";"Vince Carter";"1977-01-26";"1977-01-26";"Daytona Beach";"daytonabeach"
"Vince Carter";"Vince Carter";"1977-01-26";"1977-01-26";"Daytona Beach";"daytonabeach"
"Vince Carter";"Vince Carter";"1977-01-26";"1977-01-26";"Daytona Beach";"daytonabeach"
"Samuel Dalembert";"Samuel Dalembert";"1981-05-10";"1981-05-10";"Port-au-Prince";"haiti"
"Samuel Dalembert";"Samuel Dalembert";"1981-05-10";"1981-05-10";"Port-au-Prince";"haiti"
"Samuel Dalembert";"Samuel Dalembert";"1981-05-10";"1981-05-10";"Port-au-Prince";"haiti"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Monta Ellis";"Monta Ellis";"1985-10-26";"1985-10-26";"Jackson";"jackson"
"Patrick Beverley";"Patrick Beverley";"1988-07-12";"1988-07-12";"Chicago";"chicago"
"Troy Daniels";"Troy Daniels";"1991-07-15";"1991-07-15";"Roanoke";"roanoke"
"Francisco García";"Francisco Garcia";"1981-12-31";"1980-12-31";"Santo Domingo";"dominicanrepublic"
"Isaiah Canaan";"Isaiah Canaan";"1991-05-21";"1991-05-21";"Biloxi";"biloxi"
"Omri Casspi";"Omri Casspi";"1988-06-22";"1988-06-22";"Holon";"israel"
"Robert Covington";"Robert Covington";"1990-12-14";"1990-12-14";"Bellwood";"bellwood"
"Jordan Hamilton";"Jordan Hamilton";"1990-10-06";"1990-10-06";"Los Angeles";"losangeles"
"Donatas Motiej?nas";"Donatas Motiejunas";"1990-09-20";"1990-09-20";"Kaunas";"lithuania"
"Jamaal Franklin";"Jamaal Franklin";"1991-07-21";"1991-07-21";"Moreno Valley";"morenovalley"
"Josh Powell";"Josh Powell";"1983-01-25";"1983-01-25";"Charleston";"charleston"
"James Johnson";"James Johnson";"1987-02-20";"1987-02-20";"Cheyenne";"cheyenne"
"Mike Miller";"Mike Miller";"1980-02-19";"1980-02-19";"Mitchell";"mitchell"
"Tayshaun Prince";"Tayshaun Prince";"1980-02-28";"1980-02-28";"Compton";"compton"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"James Harden";"James Harden";"1989-08-26";"1989-08-26";"Los Angeles";"bellflower"
"Tyreke Evans";"Tyreke Evans";"1989-09-19";"1989-09-19";"Chester";"chester"
"Tyreke Evans";"Tyreke Evans";"1989-09-19";"1989-09-19";"Chester";"chester"
"Tyreke Evans";"Tyreke Evans";"1989-09-19";"1989-09-19";"Chester";"chester"
"Garrett Temple";"Garrett Temple";"1986-05-08";"1986-05-08";"Baton Rouge";"batonrouge"
"Luke Babbitt";"Luke Babbitt";"1989-06-20";"1989-06-20";"Cincinnati";"cincinnati"
